Name|InputCommand|Owner|NativeCommand|MouseMapped|Connector
Battery|4001|3|3501|false|KEYBOARD_ONLY
Generator1|4002|3|3502|false|KEYBOARD_ONLY
Generator2|4003|3|3503|false|KEYBOARD_ONLY
Master|4004|67|3129|true|PNT_1843
SmsPower|4005|67|3130|true|PNT_1844
Starter|4006|15|3504|false|KEYBOARD_ONLY
FuelShutoff|4007|15|3505|false|KEYBOARD_ONLY
Gear|4008|8|3506|true|PTR-ARM-LAND-GEAR-084
Flaps|4009|8|3507|true|PNT_912
Canopy|4010|8|3508|false|KEYBOARD_ONLY
Mode|4011|106|10012|false|KEYBOARD_ONLY
WaypointNext|4012|101|3122|false|KEYBOARD_ONLY
WaypointPrevious|4013|101|3123|false|KEYBOARD_ONLY
HudBrightness|4014|104|3098|false|KEYBOARD_ONLY
CautionAcknowledge|4015|108|3143|false|KEYBOARD_ONLY
IcpCOM1|4016|103|3065|true|PNT_451
IcpCOM2|4017|103|3066|true|PNT_452
IcpNAVAIDS|4018|103|3068|true|PNT_453
IcpA_G|4019|103|3069|true|PNT_454
IcpNAV|4020|103|3070|true|PNT_455
IcpA_A|4021|103|3071|true|PNT_456
IcpBARO_RALT|4022|103|3072|true|PNT_457
IcpCLR|4023|103|3086|true|PNT_469
IcpENTR|4024|103|3087|true|PNT_470
IcpWARNRST|4025|103|3090|true|PNT_473
IcpUP|4026|103|3084|true|PNT_474
IcpDOWN|4027|103|3085|true|PNT_475
IcpJOY_RIGHT|4028|103|3100|true|PNT_485
IcpJOY_LEFT|4029|103|3101|true|PNT_486
IcpJOY_UP|4030|103|3102|true|PNT_487
IcpJOY_DOWN|4031|103|3103|true|PNT_488
Icp1|4032|103|3074|true|PNT_459
Icp2|4033|103|3075|true|PNT_460
Icp3|4034|103|3076|true|PNT_461
Icp4|4035|103|3077|true|PNT_462
Icp5|4036|103|3078|true|PNT_463
Icp6|4037|103|3079|true|PNT_464
Icp7|4038|103|3080|true|PNT_465
Icp8|4039|103|3081|true|PNT_466
Icp9|4040|103|3082|true|PNT_467
Icp0|4041|103|3083|true|PNT_468
IcpDayNight|4042|103|3091|true|PNT_476
IcpRadarAltimeter|4043|103|3092|true|PNT_477
IcpEgi|4044|103|3094|true|PNT_479
IcpBrightness|4045|103|3095|true|PNT_480
Mfd1Power|4046|101|3529|false|KEYBOARD_ONLY
Mfd1Brightness|4047|101|3532|false|KEYBOARD_ONLY
Mfd1Oss1|4048|101|3501|false|KEYBOARD_ONLY
Mfd1Oss2|4049|101|3502|false|KEYBOARD_ONLY
Mfd1Oss3|4050|101|3503|false|KEYBOARD_ONLY
Mfd1Oss4|4051|101|3504|false|KEYBOARD_ONLY
Mfd1Oss5|4052|101|3505|false|KEYBOARD_ONLY
Mfd1Oss6|4053|101|3506|false|KEYBOARD_ONLY
Mfd1Oss7|4054|101|3507|false|KEYBOARD_ONLY
Mfd1Oss8|4055|101|3508|false|KEYBOARD_ONLY
Mfd1Oss9|4056|101|3509|false|KEYBOARD_ONLY
Mfd1Oss10|4057|101|3510|false|KEYBOARD_ONLY
Mfd1Oss11|4058|101|3511|false|KEYBOARD_ONLY
Mfd1Oss12|4059|101|3512|false|KEYBOARD_ONLY
Mfd1Oss13|4060|101|3513|false|KEYBOARD_ONLY
Mfd1Oss14|4061|101|3514|false|KEYBOARD_ONLY
Mfd1Oss15|4062|101|3515|false|KEYBOARD_ONLY
Mfd1Oss16|4063|101|3516|false|KEYBOARD_ONLY
Mfd1Oss17|4064|101|3517|false|KEYBOARD_ONLY
Mfd1Oss18|4065|101|3518|false|KEYBOARD_ONLY
Mfd1Oss19|4066|101|3519|false|KEYBOARD_ONLY
Mfd1Oss20|4067|101|3520|false|KEYBOARD_ONLY
Mfd1Oss21|4068|101|3521|false|KEYBOARD_ONLY
Mfd1Oss22|4069|101|3522|false|KEYBOARD_ONLY
Mfd1Oss23|4070|101|3523|false|KEYBOARD_ONLY
Mfd1Oss24|4071|101|3524|false|KEYBOARD_ONLY
Mfd1Oss25|4072|101|3525|false|KEYBOARD_ONLY
Mfd1Oss26|4073|101|3526|false|KEYBOARD_ONLY
Mfd1Oss27|4074|101|3527|false|KEYBOARD_ONLY
Mfd1Oss28|4075|101|3528|false|KEYBOARD_ONLY
Mfd2Power|4076|101|3561|false|KEYBOARD_ONLY
Mfd2Brightness|4077|101|3564|false|KEYBOARD_ONLY
Mfd2Oss1|4078|101|3533|false|KEYBOARD_ONLY
Mfd2Oss2|4079|101|3534|false|KEYBOARD_ONLY
Mfd2Oss3|4080|101|3535|false|KEYBOARD_ONLY
Mfd2Oss4|4081|101|3536|false|KEYBOARD_ONLY
Mfd2Oss5|4082|101|3537|false|KEYBOARD_ONLY
Mfd2Oss6|4083|101|3538|false|KEYBOARD_ONLY
Mfd2Oss7|4084|101|3539|false|KEYBOARD_ONLY
Mfd2Oss8|4085|101|3540|false|KEYBOARD_ONLY
Mfd2Oss9|4086|101|3541|false|KEYBOARD_ONLY
Mfd2Oss10|4087|101|3542|false|KEYBOARD_ONLY
Mfd2Oss11|4088|101|3543|false|KEYBOARD_ONLY
Mfd2Oss12|4089|101|3544|false|KEYBOARD_ONLY
Mfd2Oss13|4090|101|3545|false|KEYBOARD_ONLY
Mfd2Oss14|4091|101|3546|false|KEYBOARD_ONLY
Mfd2Oss15|4092|101|3547|false|KEYBOARD_ONLY
Mfd2Oss16|4093|101|3548|false|KEYBOARD_ONLY
Mfd2Oss17|4094|101|3549|false|KEYBOARD_ONLY
